i,clean_acc,ptb_acc,inv_acc
0,1.0,0.0,0.800000011920929
1,0.9599999785423279,0.0,0.6299999952316284
2,0.9100000262260437,0.0,0.6200000047683716
3,0.9200000166893005,0.0,0.7400000095367432
4,0.8299999833106995,0.0,0.550000011920929
5,0.949999988079071,0.0,0.6700000166893005
6,0.9200000166893005,0.0,0.699999988079071
7,0.9399999976158142,0.0,0.6600000262260437
8,0.8199999928474426,0.0,0.7400000095367432
9,0.9399999976158142,0.0,0.6100000143051147
10,0.8600000143051147,0.03999999910593033,0.5799999833106995
11,0.8799999952316284,0.0,0.6800000071525574
12,0.8399999737739563,0.009999999776482582,0.75
13,0.9399999976158142,0.009999999776482582,0.6299999952316284
14,0.8399999737739563,0.05000000074505806,0.6700000166893005
15,0.9399999976158142,0.0,0.5699999928474426
16,0.949999988079071,0.009999999776482582,0.6899999976158142
17,0.9100000262260437,0.019999999552965164,0.6700000166893005
18,0.8600000143051147,0.07000000029802322,0.6600000262260437
19,0.9300000071525574,0.009999999776482582,0.550000011920929
20,0.8999999761581421,0.05000000074505806,0.7400000095367432
21,0.9399999976158142,0.009999999776482582,0.7300000190734863
22,0.9700000286102295,0.009999999776482582,0.5699999928474426
23,0.8600000143051147,0.009999999776482582,0.6399999856948853
24,0.9900000095367432,0.10000000149011612,0.699999988079071
25,0.8700000047683716,0.03999999910593033,0.6499999761581421
26,0.9700000286102295,0.07000000029802322,0.6000000238418579
27,0.8399999737739563,0.10999999940395355,0.7200000286102295
28,0.9300000071525574,0.019999999552965164,0.6000000238418579
29,0.9200000166893005,0.07000000029802322,0.6299999952316284
30,0.9700000286102295,0.03999999910593033,0.6499999761581421
31,0.9100000262260437,0.0,0.699999988079071
32,0.9599999785423279,0.10999999940395355,0.6800000071525574
33,0.9100000262260437,0.07000000029802322,0.6899999976158142
34,0.9399999976158142,0.05999999865889549,0.6200000047683716
35,0.8399999737739563,0.05000000074505806,0.699999988079071
36,0.9800000190734863,0.009999999776482582,0.7099999785423279
37,0.949999988079071,0.07000000029802322,0.7099999785423279
38,0.9599999785423279,0.1599999964237213,0.6700000166893005
39,0.9399999976158142,0.05000000074505806,0.6899999976158142
40,0.8999999761581421,0.11999999731779099,0.6899999976158142
41,0.9399999976158142,0.05999999865889549,0.6800000071525574
42,0.9399999976158142,0.10999999940395355,0.75
43,0.9100000262260437,0.07000000029802322,0.6499999761581421
44,0.9300000071525574,0.12999999523162842,0.7799999713897705
45,0.8799999952316284,0.05000000074505806,0.6499999761581421
46,0.9599999785423279,0.10999999940395355,0.7099999785423279
47,0.949999988079071,0.019999999552965164,0.6499999761581421
48,0.9700000286102295,0.11999999731779099,0.699999988079071
49,0.9700000286102295,0.03999999910593033,0.7200000286102295
50,0.949999988079071,0.20999999344348907,0.6399999856948853
51,0.9399999976158142,0.05000000074505806,0.7599999904632568
52,0.9100000262260437,0.10000000149011612,0.6899999976158142
53,0.8799999952316284,0.09000000357627869,0.7400000095367432
54,0.9300000071525574,0.30000001192092896,0.7799999713897705
55,0.9399999976158142,0.07000000029802322,0.6600000262260437
56,0.8700000047683716,0.1899999976158142,0.7200000286102295
57,0.9599999785423279,0.029999999329447746,0.699999988079071
58,0.8100000023841858,0.25999999046325684,0.6899999976158142
59,0.9399999976158142,0.03999999910593033,0.5799999833106995
60,0.9300000071525574,0.12999999523162842,0.75
61,0.9399999976158142,0.09000000357627869,0.699999988079071
62,0.8799999952316284,0.09000000357627869,0.7599999904632568
63,0.9399999976158142,0.09000000357627869,0.6899999976158142
64,0.949999988079071,0.20999999344348907,0.7300000190734863
65,0.8899999856948853,0.12999999523162842,0.7099999785423279
66,0.9399999976158142,0.18000000715255737,0.7300000190734863
67,0.9300000071525574,0.05999999865889549,0.6600000262260437
68,0.8700000047683716,0.18000000715255737,0.75
69,0.9700000286102295,0.20000000298023224,0.6399999856948853
70,0.9100000262260437,0.1899999976158142,0.7400000095367432
71,0.9800000190734863,0.10000000149011612,0.699999988079071
72,0.9200000166893005,0.17000000178813934,0.699999988079071
73,0.9200000166893005,0.15000000596046448,0.6200000047683716
74,0.949999988079071,0.20000000298023224,0.6800000071525574
75,0.9300000071525574,0.2199999988079071,0.7099999785423279
76,0.9200000166893005,0.23000000417232513,0.7200000286102295
77,0.8899999856948853,0.1899999976158142,0.6800000071525574
78,0.9700000286102295,0.20999999344348907,0.7099999785423279
79,0.9399999976158142,0.05999999865889549,0.6800000071525574
80,0.9700000286102295,0.3100000023841858,0.7400000095367432
81,0.9399999976158142,0.18000000715255737,0.6600000262260437
82,0.949999988079071,0.2800000011920929,0.7099999785423279
83,0.9700000286102295,0.10000000149011612,0.7099999785423279
84,0.9399999976158142,0.1899999976158142,0.7599999904632568
85,0.9200000166893005,0.10000000149011612,0.6200000047683716
86,0.9399999976158142,0.20999999344348907,0.7300000190734863
87,0.8899999856948853,0.10999999940395355,0.6700000166893005
88,0.8899999856948853,0.2199999988079071,0.7099999785423279
89,0.9200000166893005,0.20000000298023224,0.5899999737739563
90,0.9100000262260437,0.20999999344348907,0.7099999785423279
91,0.949999988079071,0.20999999344348907,0.6499999761581421
92,0.949999988079071,0.23999999463558197,0.75
93,0.8700000047683716,0.23999999463558197,0.699999988079071
94,0.9399999976158142,0.2800000011920929,0.7599999904632568
95,0.9700000286102295,0.1899999976158142,0.6600000262260437
96,0.9100000262260437,0.18000000715255737,0.6499999761581421
97,0.8700000047683716,0.28999999165534973,0.5699999928474426
98,0.949999988079071,0.2199999988079071,0.7300000190734863
99,0.9300000071525574,0.1899999976158142,0.7200000286102295
100,0.9399999976158142,0.23000000417232513,0.7300000190734863
101,0.9599999785423279,0.3100000023841858,0.7200000286102295
102,0.9599999785423279,0.2199999988079071,0.7300000190734863
103,0.9399999976158142,0.1899999976158142,0.699999988079071
104,0.9700000286102295,0.10999999940395355,0.6700000166893005
105,0.9599999785423279,0.3199999928474426,0.7400000095367432
106,0.9700000286102295,0.23000000417232513,0.7599999904632568
107,0.9700000286102295,0.3400000035762787,0.7599999904632568
108,0.9700000286102295,0.18000000715255737,0.7400000095367432
109,0.9700000286102295,0.36000001430511475,0.7300000190734863
110,0.9700000286102295,0.11999999731779099,0.5699999928474426
111,0.9599999785423279,0.3199999928474426,0.800000011920929
112,0.9900000095367432,0.23999999463558197,0.7099999785423279
113,0.9399999976158142,0.2800000011920929,0.7300000190734863
114,0.9399999976158142,0.1899999976158142,0.6700000166893005
115,0.9900000095367432,0.38999998569488525,0.75
116,1.0,0.23000000417232513,0.7099999785423279
117,0.9700000286102295,0.2199999988079071,0.7200000286102295
118,0.9399999976158142,0.20999999344348907,0.6800000071525574
119,0.9800000190734863,0.3700000047683716,0.6700000166893005
120,0.9700000286102295,0.33000001311302185,0.7900000214576721
121,0.9900000095367432,0.3100000023841858,0.8100000023841858
122,0.9300000071525574,0.2199999988079071,0.6800000071525574
123,0.9800000190734863,0.3499999940395355,0.7699999809265137
124,0.9599999785423279,0.30000001192092896,0.7599999904632568
125,0.9800000190734863,0.3400000035762787,0.75
126,0.9800000190734863,0.3100000023841858,0.7599999904632568
127,0.9900000095367432,0.3700000047683716,0.7400000095367432
128,0.9700000286102295,0.30000001192092896,0.7099999785423279
129,0.9399999976158142,0.30000001192092896,0.6899999976158142
130,0.9900000095367432,0.2800000011920929,0.7200000286102295
131,0.9599999785423279,0.25,0.7699999809265137
132,0.9399999976158142,0.25,0.7200000286102295
133,0.9599999785423279,0.2800000011920929,0.75
134,0.9599999785423279,0.23000000417232513,0.6600000262260437
135,0.949999988079071,0.4300000071525574,0.7599999904632568
136,0.949999988079071,0.3100000023841858,0.7099999785423279
137,0.9599999785423279,0.27000001072883606,0.7200000286102295
138,0.9800000190734863,0.3499999940395355,0.7300000190734863
139,0.9399999976158142,0.20999999344348907,0.7599999904632568
140,0.9599999785423279,0.4099999964237213,0.75
141,0.9599999785423279,0.3499999940395355,0.7099999785423279
142,0.9800000190734863,0.3100000023841858,0.7300000190734863
143,0.9200000166893005,0.23999999463558197,0.6399999856948853
144,0.9399999976158142,0.3199999928474426,0.7400000095367432
145,0.949999988079071,0.33000001311302185,0.6899999976158142
146,0.9700000286102295,0.44999998807907104,0.7799999713897705
147,0.9700000286102295,0.28999999165534973,0.699999988079071
148,0.949999988079071,0.41999998688697815,0.75
149,0.949999988079071,0.20000000298023224,0.7300000190734863
150,0.9300000071525574,0.4099999964237213,0.699999988079071
151,0.9399999976158142,0.33000001311302185,0.7599999904632568
152,0.9599999785423279,0.3499999940395355,0.7200000286102295
153,0.949999988079071,0.28999999165534973,0.7699999809265137
154,0.9900000095367432,0.47999998927116394,0.7699999809265137
155,0.9700000286102295,0.3100000023841858,0.75
156,0.9399999976158142,0.3400000035762787,0.7300000190734863
157,0.9300000071525574,0.23999999463558197,0.6899999976158142
158,0.9599999785423279,0.33000001311302185,0.7200000286102295
159,0.949999988079071,0.23999999463558197,0.6499999761581421
160,0.9300000071525574,0.3400000035762787,0.7699999809265137
161,0.949999988079071,0.3799999952316284,0.7400000095367432
162,0.9700000286102295,0.4699999988079071,0.7699999809265137
163,0.9800000190734863,0.4699999988079071,0.7400000095367432
164,0.9599999785423279,0.4399999976158142,0.7799999713897705
165,0.9399999976158142,0.3700000047683716,0.6499999761581421
166,0.9700000286102295,0.38999998569488525,0.7200000286102295
167,0.9900000095367432,0.2800000011920929,0.6899999976158142
168,0.949999988079071,0.41999998688697815,0.7300000190734863
169,0.9800000190734863,0.3799999952316284,0.6899999976158142
170,0.9300000071525574,0.4000000059604645,0.7099999785423279
171,1.0,0.2800000011920929,0.6899999976158142
172,0.9399999976158142,0.4300000071525574,0.7200000286102295
173,0.949999988079071,0.2800000011920929,0.6499999761581421
174,0.949999988079071,0.30000001192092896,0.7300000190734863
175,0.9800000190734863,0.4000000059604645,0.699999988079071
176,0.9900000095367432,0.38999998569488525,0.699999988079071
177,0.9700000286102295,0.4699999988079071,0.6899999976158142
178,0.9700000286102295,0.4000000059604645,0.699999988079071
179,0.9599999785423279,0.49000000953674316,0.7799999713897705
180,0.9399999976158142,0.3400000035762787,0.6200000047683716
